,PubYear,lemmatized_Abstract,lemmatized_Title,text
1470,2015,paper analyze singleserver system arbitrary number customer class class dependent exponential service rate preemptive priority class queue system describe multi dimensional markov process coordinate keep track number customer class system base matrix analytic technique probabilistic argument develop recursive method exact determination equilibrium joint length distribution method apply spare part logistic problem illustrate effect set repair priority performance system conclude briefly indicate method extended singleserver system non preemptive priority customer class,joint length distribution multi class singleserver preemptive priority,paper analyze singleserver system arbitrary number customer class class dependent exponential service rate preemptive priority class queue system describe multi dimensional markov process coordinate keep track number customer class system base matrix analytic technique probabilistic argument develop recursive method exact determination equilibrium joint length distribution method apply spare part logistic problem illustrate effect set repair priority performance system conclude briefly indicate method extended singleserver system non preemptive priority customer class joint length distribution multi class singleserver preemptive priority
1471,2015,provide game theoretic analysis arrival process multiserver system limited buffer admit customer finite time interval customer arrive full system block receive service customer choose arrival time goal minimize probability block characterise unique symmetric equilibrium arrival distribution present method computing distribution comprise atom time interval arrival gap continuous distribution closing time present fluid approximation equilibrium behaviour population large fluid solution also admit atom gap uniform distribution arrival interval provide approximation model equilibrium behaviour require numerical solution set differential equation require discrete case correspond problem social optimization provide explicit analysis special case numerical analysis general model upper bind establish price anarchy show monotone respect population size,strategic timing arrival finite multiserver loss system,provide game theoretic analysis arrival process multiserver system limited buffer admit customer finite time interval customer arrive full system block receive service customer choose arrival time goal minimize probability block characterise unique symmetric equilibrium arrival distribution present method computing distribution comprise atom time interval arrival gap continuous distribution closing time present fluid approximation equilibrium behaviour population large fluid solution also admit atom gap uniform distribution arrival interval provide approximation model equilibrium behaviour require numerical solution set differential equation require discrete case correspond problem social optimization provide explicit analysis special case numerical analysis general model upper bind establish price anarchy show monotone respect population size strategic timing arrival finite multiserver loss system
1472,2015,investigate resource allocation problem multi class server hold cost user impatience average cost criterion general optimal policy complex dependency input parameter state information main contribution derive index policy serve heuristic show give good performance index policy attribute class index depend number customer currently present class index value obtain solve relaxed version optimal stochastic control problem combine result restless multi armed bandit theory express function steady state distribution probability dimensional birth death process linear hold cost index calculate close form turn independent arrival rate number customer present case abandonment linear hold cost index coincide numerical experiment wide range parameter show index policy fluid index policy perform well broad range parameter,asymptotically optimal index policy abandonment hold cost,investigate resource allocation problem multi class server hold cost user impatience average cost criterion general optimal policy complex dependency input parameter state information main contribution derive index policy serve heuristic show give good performance index policy attribute class index depend number customer currently present class index value obtain solve relaxed version optimal stochastic control problem combine result restless multi armed bandit theory express function steady state distribution probability dimensional birth death process linear hold cost index calculate close form turn independent arrival rate number customer present case abandonment linear hold cost index coincide numerical experiment wide range parameter show index policy fluid index policy perform well broad range parameter asymptotically optimal index policy abandonment hold cost
1473,2015,paper study optimal pricing multiserver system several type customer arrival join price service high maximum amount arrival will pay maximum amount define customer type system manager choose price depend number customer system addition system incur hold cost customer wait service service time hold cost depend customer type hold cost nondecrease respect number customer paper describe average reward optimal canonical bias optimal blackwell optimal policy pricing problem,optimal pricing multiserver several customer type hold cost,paper study optimal pricing multiserver system several type customer arrival join price service high maximum amount arrival will pay maximum amount define customer type system manager choose price depend number customer system addition system incur hold cost customer wait service service time hold cost depend customer type hold cost nondecrease respect number customer paper describe average reward optimal canonical bias optimal blackwell optimal policy pricing problem optimal pricing multiserver several customer type hold cost
1474,2015,well know rule remain optimal case develop simple heuristic policy serve customer numerical study show heuristic policy perform close optimal bad case optimal solution example optimal solution,optimal control multiclass system customer change type,well know rule remain optimal case develop simple heuristic policy serve customer numerical study show heuristic policy perform close optimal bad case optimal solution example optimal solution optimal control multiclass system customer change type
1475,2015,study robustness performance prediction discrete time finite capacity apply framework imprecise probability concretely consider singleserver model probability arrival departure long fix allow vary give interval distinguish concept namely repetition independence epistemic irrelevance first approach assume existence time homogeneous probability arrival departure lead consider collection stationary second stationarity assumption drop allow arrival departure probability vary time point time point even depend complete history length calculate bound expect length probability particular length probability turning server expect length approach coincide performance measure observe discuss various difference bound obtain approach observation ergodicity break due imprecision bound expect time average certain function state space necessarily equal bound expectation function random instant steady state,robust theory initial study use imprecise probability,study robustness performance prediction discrete time finite capacity apply framework imprecise probability concretely consider singleserver model probability arrival departure long fix allow vary give interval distinguish concept namely repetition independence epistemic irrelevance first approach assume existence time homogeneous probability arrival departure lead consider collection stationary second stationarity assumption drop allow arrival departure probability vary time point time point even depend complete history length calculate bound expect length probability particular length probability turning server expect length approach coincide performance measure observe discuss various difference bound obtain approach observation ergodicity break due imprecision bound expect time average certain function state space necessarily equal bound expectation function random instant steady state robust theory initial study use imprecise probability
1476,2015,study translation invariant splitting gibb measure tisgms tree index markov chain fertile state hard core model activity parameter ensure give tisgm extreme non extreme set gibb measure cayley tree order give explicit formulae numerical value,gibb measure fertile state hard core model cayley tree,study translation invariant splitting gibb measure tisgms tree index markov chain fertile state hard core model activity parameter ensure give tisgm extreme non extreme set gibb measure cayley tree order give explicit formulae numerical value gibb measure fertile state hard core model cayley tree
1477,2015,wireless sensor network increase need efficient reliable broadcasting algorithm grow ideally broadcast ability quickly disseminate datum keep number transmission low paper analyze popular trickle propose suitable communication protocol code maintenance wireless sensor network show broadcasting process network use trickle model markov chain chain fall class chain closely relate residual lifetime distribution show class markov chain admit stationary distribution special form result use analyze trickle message count result prove conjecture make literature concern effect listen period provide mathematical analysis propose generalize version trickle additional parameter define length listen period,scalability message count trickle base broadcasting scheme,wireless sensor network increase need efficient reliable broadcasting algorithm grow ideally broadcast ability quickly disseminate datum keep number transmission low paper analyze popular trickle propose suitable communication protocol code maintenance wireless sensor network show broadcasting process network use trickle model markov chain chain fall class chain closely relate residual lifetime distribution show class markov chain admit stationary distribution special form result use analyze trickle message count result prove conjecture make literature concern effect listen period provide mathematical analysis propose generalize version trickle additional parameter define length listen period scalability message count trickle base broadcasting scheme
1478,2015,extend markov modulate brownian motion approach successfully apply analysis markov modulate fluid model show recently mmbm express limit parameterized family markov modulate fluid model prove weak convergence also hold system reflect boundary,fluid approach sided reflect markov modulate brownian motion,extend markov modulate brownian motion approach successfully apply analysis markov modulate fluid model show recently mmbm express limit parameterized family markov modulate fluid model prove weak convergence also hold system reflect boundary fluid approach sided reflect markov modulate brownian motion
1479,2015,consider loss probability stationary singleserver stationary singleserver impatient customer impatience time generally distribute know loss probability give term probability density function virtual waiting time give formal series solution volterra integral equation paper show series solution interpret probability density function random sum dependent random variable reveal dependency structure analysis last come first serve preemptive resume singleserver workload dependent loss furthermore base observation show property loss probability,analysis loss probability singleserver,consider loss probability stationary singleserver stationary singleserver impatient customer impatience time generally distribute know loss probability give term probability density function virtual waiting time give formal series solution volterra integral equation paper show series solution interpret probability density function random sum dependent random variable reveal dependency structure analysis last come first serve preemptive resume singleserver workload dependent loss furthermore base observation show property loss probability analysis loss probability singleserver
1480,2015,consider service system agent invite demand customer arrive exogenously poisson process join customer arrival agent available agent decide accept decline invitation exponentially distribute random time join agent invitation acceptance customer wait customer agent match order customer arrival agent invitation acceptance non idle condition leave system simultaneously match service time irrelevant consider feedback base adaptive agent invitation scheme control number pende agent invitation depend customer agent length change system process component difference agent customer number pende invitation countable continuous time markov chain case customer arrival rate constant establish fluid diffusion limit asymptotic regime customer arrival rate go infinity agent response rate fix prove process stability fluid scale limit interchange particular imply customer agent wait time steady state vanish asymptotic limit develop novel multi scale lyapunov drift argument require process non trivial behavior state space boundary customer arrival rate time vary present limitfluid process asymptotic regime simulation experiment conduct show good performance invitation scheme accuracy limitfluid approximation,service system demand agent invitation,consider service system agent invite demand customer arrive exogenously poisson process join customer arrival agent available agent decide accept decline invitation exponentially distribute random time join agent invitation acceptance customer wait customer agent match order customer arrival agent invitation acceptance non idle condition leave system simultaneously match service time irrelevant consider feedback base adaptive agent invitation scheme control number pende agent invitation depend customer agent length change system process component difference agent customer number pende invitation countable continuous time markov chain case customer arrival rate constant establish fluid diffusion limit asymptotic regime customer arrival rate go infinity agent response rate fix prove process stability fluid scale limit interchange particular imply customer agent wait time steady state vanish asymptotic limit develop novel multi scale lyapunov drift argument require process non trivial behavior state space boundary customer arrival rate time vary present limitfluid process asymptotic regime simulation experiment conduct show good performance invitation scheme accuracy limitfluid approximation service system demand agent invitation
1481,2015,markov modulation versatile generalization make simple stochastic model often analytically tractable flexible application spirit modulate dimensional reflect skip free random walk way state transition boundary face interior nonnegative integer quadrant control chain markov modulate model refer qbd process accord ozawa syst interested tailasymptotic stationary distribution study markov modulation ozawa study tailasymptotic problem answer analytically tractable think markov modulation free change model even state space modulation finite thus structure say extra condition need make markov modulation analytically tractable minimize limitation application aim paper investigate structure tailasymptotic problem study existence right subinvariant positive vector call superharmonic vector nonnegative matrix block structure block matrix finite dimensional characterize existence certain extra assumption apply derive tail decay rate marginal stationary distribution arbitrary direction solve tail decay rate problem node generalize open many year,superharmonic vector nonnegative matrix block structure application markov modulate dimensional reflecting process,markov modulation versatile generalization make simple stochastic model often analytically tractable flexible application spirit modulate dimensional reflect skip free random walk way state transition boundary face interior nonnegative integer quadrant control chain markov modulate model refer qbd process accord ozawa syst interested tailasymptotic stationary distribution study markov modulation ozawa study tailasymptotic problem answer analytically tractable think markov modulation free change model even state space modulation finite thus structure say extra condition need make markov modulation analytically tractable minimize limitation application aim paper investigate structure tailasymptotic problem study existence right subinvariant positive vector call superharmonic vector nonnegative matrix block structure block matrix finite dimensional characterize existence certain extra assumption apply derive tail decay rate marginal stationary distribution arbitrary direction solve tail decay rate problem node generalize open many year superharmonic vector nonnegative matrix block structure application markov modulate dimensional reflecting process
1482,2015,work introduce novel model class user user wait system match candidate class instead access resource new model useful analyze traffic web portal match people provide service people demand service example employment portal matrimonial date site rental portal provide markov chain model derive probability distribution number match finite time give number arrival prove control mechanism employ system unstable set parameter suggest different class control policy assure stability contrary intuition rejection rate decrease user get likely match show certain control policy rejection rate insensitive matching probability even surprisingly show reasonable policy rejection rate increase function matching probability also prove insensitivity result relate average length wait time,stabilize policy probabilistic matching system,work introduce novel model class user user wait system match candidate class instead access resource new model useful analyze traffic web portal match people provide service people demand service example employment portal matrimonial date site rental portal provide markov chain model derive probability distribution number match finite time give number arrival prove control mechanism employ system unstable set parameter suggest different class control policy assure stability contrary intuition rejection rate decrease user get likely match show certain control policy rejection rate insensitive matching probability even surprisingly show reasonable policy rejection rate increase function matching probability also prove insensitivity result relate average length wait time stabilize policy probabilistic matching system
1483,2015,consider system parallel arrive service task buffer accord type available service resource dynamically configure allocate process task point time scheduler choose service configuration response backlog switch service configuration incur setup time idle occur service widthband lose setup time inherent manufacturing computer system frequent switching significantly compromise service capacity system maximum weight matching mwm scheduler know maximize throughput absence setup easily become unstable setup even low load remedy problem propose new mwm scheduler utilize controller introduce hysteresis achieve maximum throughput even setup require knowledge arrival rate average traffic load prolong traffic burst become overloaded issue become reasonably distribute grow backlog mwm show appropriately select mwm parameter control backlog individual order achieve desire balance,maximum weight matching hysteresis overloaded setup,consider system parallel arrive service task buffer accord type available service resource dynamically configure allocate process task point time scheduler choose service configuration response backlog switch service configuration incur setup time idle occur service widthband lose setup time inherent manufacturing computer system frequent switching significantly compromise service capacity system maximum weight matching mwm scheduler know maximize throughput absence setup easily become unstable setup even low load remedy problem propose new mwm scheduler utilize controller introduce hysteresis achieve maximum throughput even setup require knowledge arrival rate average traffic load prolong traffic burst become overloaded issue become reasonably distribute grow backlog mwm show appropriately select mwm parameter control backlog individual order achieve desire balance maximum weight matching hysteresis overloaded setup
1484,2015,heterogeneous closed network server finite capacity infinite server study target application bike sharing system heterogeneity take account cluster parameter incentive customer least load server choose cluster investigate mean field argument limit length stationary distribution get large analytically tractable moreover customer follow incentive probability empty full approximated sizing system improve performance achievable policy,choice regulation heterogeneous closed network,heterogeneous closed network server finite capacity infinite server study target application bike sharing system heterogeneity take account cluster parameter incentive customer least load server choose cluster investigate mean field argument limit length stationary distribution get large analytically tractable moreover customer follow incentive probability empty full approximated sizing system improve performance achievable policy choice regulation heterogeneous closed network
1485,2015,simple service discipline system time tag customer depend customer arrive system early example first first fifo later example lifo tag paper consider singleserver system infinite system time tag customer depend customer arrive system early later tag new regular customer arrive system accord markov arrival process map flow occupy place buffer receive service fifo order external sequence signal also arrive system accord different map flow sequence signal transform regular customer delay one move sequence buffer serve low priority regular one service customer also map distribution different govern arrival system memoryless ingredient arrival service resequence already extensive research paper investigate essential analytical property scalar function make analysis memoryless system feasible extended case markov environment,delay analysis sequence buffer markov environment,simple service discipline system time tag customer depend customer arrive system early example first first fifo later example lifo tag paper consider singleserver system infinite system time tag customer depend customer arrive system early later tag new regular customer arrive system accord markov arrival process map flow occupy place buffer receive service fifo order external sequence signal also arrive system accord different map flow sequence signal transform regular customer delay one move sequence buffer serve low priority regular one service customer also map distribution different govern arrival system memoryless ingredient arrival service resequence already extensive research paper investigate essential analytical property scalar function make analysis memoryless system feasible extended case markov environment delay analysis sequence buffer markov environment
1486,2015,consider server serve time slot queue system multiple packet base flow flow service single time slot flow exogenous packet arrival time vary service rate time server observe instantaneous service rate subset flow select fix collection observable subset scheduling flow subset service interested length aware scheduling keep short limited availability instantaneous service rate information require scheduler make careful choice subset service rate sample develop scheduling algorithm partial service rate information subset channel minimize likelihood overflow system specifically present new joint subset sample schedule call max use current length pick subset flow subsequently schedule flow use exponential rule collection observable subset disjoint show max achieve good exponential decay rate scheduling algorithm base decision current finite past history system state tail long accomplish employ novel analytical technique study performance scheduling algorithm use partial state independent interest include new sample path largedeviation result process obtain non random predictable sample sequence independent identically distribute random variable consequence result schedule partial state information yield rate function significantly different scheduling full channel information special case observable subset flow effectively priori channel state information max reduce simply serve flow long thus result show always serve long absence channel state information largedeviation optimal,wireless scheduling partial channel state information largedeviation optimality,consider server serve time slot queue system multiple packet base flow flow service single time slot flow exogenous packet arrival time vary service rate time server observe instantaneous service rate subset flow select fix collection observable subset scheduling flow subset service interested length aware scheduling keep short limited availability instantaneous service rate information require scheduler make careful choice subset service rate sample develop scheduling algorithm partial service rate information subset channel minimize likelihood overflow system specifically present new joint subset sample schedule call max use current length pick subset flow subsequently schedule flow use exponential rule collection observable subset disjoint show max achieve good exponential decay rate scheduling algorithm base decision current finite past history system state tail long accomplish employ novel analytical technique study performance scheduling algorithm use partial state independent interest include new sample path largedeviation result process obtain non random predictable sample sequence independent identically distribute random variable consequence result schedule partial state information yield rate function significantly different scheduling full channel information special case observable subset flow effectively priori channel state information max reduce simply serve flow long thus result show always serve long absence channel state information largedeviation optimal wireless scheduling partial channel state information largedeviation optimality
1487,2015,paper consider stationary multiserver multiserver constant impatience time wait customer leave system receive service elapse waiting time exceed predefine deterministic threshold multiserver constant impatience choi math oper re derive virtual waiting time distribution loss probability actual wait time distribution obtain first result virtual waiting time derive stationary length distribution also discuss computational procedure performance measure interest next consider stationary multiserver constant impatience time derive loss probability wait time distribution length distribution numerical result also provide,multiserver multiserver constant impatience time,paper consider stationary multiserver multiserver constant impatience time wait customer leave system receive service elapse waiting time exceed predefine deterministic threshold multiserver constant impatience choi math oper re derive virtual waiting time distribution loss probability actual wait time distribution obtain first result virtual waiting time derive stationary length distribution also discuss computational procedure performance measure interest next consider stationary multiserver constant impatience time derive loss probability wait time distribution length distribution numerical result also provide multiserver multiserver constant impatience time
1488,2015,switch queuenetwork model wireless network input queue switch numerous networked communication system consider witch policy policy provide generalization maxweight policy tassiula ephremide ieee weight fair allocation walrand acm typically apply widthband sharing network massouli robert ieee acm single hop switch network prove maximum stability property class randomize policy thus policy first order behavior maxweight policy however multihop network generalize police address number critical weakness maxweight backpressure policy multihop network fix routing consider policy call proportional scheduler log policy set backpressure policy maximum stable maintain route destination typically grow rapidly network size however proportional scheduler need maintain outgoing link typically bound number common internet routing maintain link node need know next hop packet entire route contrast backpressure proportional scheduler compare downstream length determine weight local link information require lead great potential decompose implementation policy reduction argument argument demonstrate maintain substantially less overhead proportional scheduler achieve maximum throughput stability,concave switch single hop multihop network,switch queuenetwork model wireless network input queue switch numerous networked communication system consider witch policy policy provide generalization maxweight policy tassiula ephremide ieee weight fair allocation walrand acm typically apply widthband sharing network massouli robert ieee acm single hop switch network prove maximum stability property class randomize policy thus policy first order behavior maxweight policy however multihop network generalize police address number critical weakness maxweight backpressure policy multihop network fix routing consider policy call proportional scheduler log policy set backpressure policy maximum stable maintain route destination typically grow rapidly network size however proportional scheduler need maintain outgoing link typically bound number common internet routing maintain link node need know next hop packet entire route contrast backpressure proportional scheduler compare downstream length determine weight local link information require lead great potential decompose implementation policy reduction argument argument demonstrate maintain substantially less overhead proportional scheduler achieve maximum throughput stability concave switch single hop multihop network
1489,2015,paper look content placement high dimensional regime prevent consistent estimation demand statistic model many modern setting large number user server video webpage interact way characterize performance scheme separate learn placement use portion demand gain estimate demand statistic use remain demand show order wise strictly suboptimal study simple adaptive schemewhich myopically attempt store recently request content idle serversand show outperform scheme separate learn placement result also generalize set demand statistic change time overall result demonstrate separate estimation demand subsequent strictly suboptimal,serve content unknown demand high dimensional regime,paper look content placement high dimensional regime prevent consistent estimation demand statistic model many modern setting large number user server video webpage interact way characterize performance scheme separate learn placement use portion demand gain estimate demand statistic use remain demand show order wise strictly suboptimal study simple adaptive schemewhich myopically attempt store recently request content idle serversand show outperform scheme separate learn placement result also generalize set demand statistic change time overall result demonstrate separate estimation demand subsequent strictly suboptimal serve content unknown demand high dimensional regime
1490,2015,consider diffusion approximation multiserver customer abandonment heavy traffic regime extend conventional locally lipschitz hazard type scale abandonment time distribution general scale study new scaling abandonment non locally lipschitz hazard type case non locally bound hazard rate scaling never solve date also wide range abandonment time distribution include non absolutely continuous one become analysis diffusion approximation due general character scale scheme abandonment time equation limit tight scale center customer count process contain nonlinear drift term limit abandonment count process satisfy local lipschitz condition continuous mapping method literature area invalid case instead apply girsanov transformation localize equation satisfy limit customer count process multiphase service time show uniqueness law solution establish desire diffusion approximation,hazard type scale abandonment time distribution multiserver heavy traffic regime,consider diffusion approximation multiserver customer abandonment heavy traffic regime extend conventional locally lipschitz hazard type scale abandonment time distribution general scale study new scaling abandonment non locally lipschitz hazard type case non locally bound hazard rate scaling never solve date also wide range abandonment time distribution include non absolutely continuous one become analysis diffusion approximation due general character scale scheme abandonment time equation limit tight scale center customer count process contain nonlinear drift term limit abandonment count process satisfy local lipschitz condition continuous mapping method literature area invalid case instead apply girsanov transformation localize equation satisfy limit customer count process multiphase service time show uniqueness law solution establish desire diffusion approximation hazard type scale abandonment time distribution multiserver heavy traffic regime
1491,2015,paper explore algorithm perfect nearly perfect sample stationary distribution wait time various class multiserver non preemptive work conserve service discipline service duration distribution class identical vary class class algorithm follow idea dominate couple kendall variation couple first come first serve construct work conserve service duration distribution vary achieve perfect simulation finding time system know totally idle distribution differ totally idle time impossible determine exactly achieve simulation specify error limit,perfect nearly perfect sample work conserve,paper explore algorithm perfect nearly perfect sample stationary distribution wait time various class multiserver non preemptive work conserve service discipline service duration distribution class identical vary class class algorithm follow idea dominate couple kendall variation couple first come first serve construct work conserve service duration distribution vary achieve perfect simulation finding time system know totally idle distribution differ totally idle time impossible determine exactly achieve simulation specify error limit perfect nearly perfect sample work conserve
1492,2015,level forward level backward transition type markov chain interpret customer arrival service generalize qbd consider paper arrival service occur matrix geometrically distribute batch paper present length sojourn time analysis generalize qbd show number phase number customer system order matrix geometrically distribute sojourn time order matrix exponentially distribute case classical qbd batch furthermore phase type representation provide distribution special case arrival service process independent simplification make possible obtain compact order representation sojourn time distribution,analysis generalize matrix geometrically distribute batch arrival service,level forward level backward transition type markov chain interpret customer arrival service generalize qbd consider paper arrival service occur matrix geometrically distribute batch paper present length sojourn time analysis generalize qbd show number phase number customer system order matrix geometrically distribute sojourn time order matrix exponentially distribute case classical qbd batch furthermore phase type representation provide distribution special case arrival service process independent simplification make possible obtain compact order representation sojourn time distribution analysis generalize matrix geometrically distribute batch arrival service
1493,2015,consider stochastic fluid model sfm derive theoretical expression key periodic measure analysis model develop efficient method numerical computation illustrate theory numerical example work extension result bean stoch model standard sfm time homogeneous generator suggest possible alternative approach develop syst,analysis cyclic stochastic fluid flow time vary transition rate,consider stochastic fluid model sfm derive theoretical expression key periodic measure analysis model develop efficient method numerical computation illustrate theory numerical example work extension result bean stoch model standard sfm time homogeneous generator suggest possible alternative approach develop syst analysis cyclic stochastic fluid flow time vary transition rate
1494,2015,obtain asymptotic bound tail distribution steady state wait time server server process incoming job rate equal rate arrival half load regime job size take regularly vary incoming job basically type effect dominate tailasymptotic quantitative distinction manifest slowly vary component effect arise qualitatively different phenomena arrival extremely big job big job phase transition occur incoming job infinite variance case effect dominate tailasymptotic involve arrival extremely big job,tailasymptotic delay half loaded multiserver heavy tail job size,obtain asymptotic bound tail distribution steady state wait time server server process incoming job rate equal rate arrival half load regime job size take regularly vary incoming job basically type effect dominate tailasymptotic quantitative distinction manifest slowly vary component effect arise qualitatively different phenomena arrival extremely big job big job phase transition occur incoming job infinite variance case effect dominate tailasymptotic involve arrival extremely big job tailasymptotic delay half loaded multiserver heavy tail job size
1495,2015,consider open network loss mixed finite infinite analyze efficiency sample exact stationary distribution show perfect sample possible underlie markov chain infinite state space main idea infinite buffer productform stationary distribution bind number initial condition consider couple scheme also provide bound sample time new perfect sample acyclic hyper stable network bound show new considerably efficient exist perfect sampler even case finite illustrate efficiency numerical experiment also extend approach variable service time non monotone network queuenetwork negative customer,perfect sample queuenetwork,consider open network loss mixed finite infinite analyze efficiency sample exact stationary distribution show perfect sample possible underlie markov chain infinite state space main idea infinite buffer productform stationary distribution bind number initial condition consider couple scheme also provide bound sample time new perfect sample acyclic hyper stable network bound show new considerably efficient exist perfect sampler even case finite illustrate efficiency numerical experiment also extend approach variable service time non monotone network queuenetwork negative customer perfect sample queuenetwork
1496,2015,study couple processor model simultaneous arrival assumption order input transform joint stationary amount work system explicitly calculate relating amount work parallel system couple relation first exploit system couple method extend high dimension,couple processor model simultaneous arrival order service requirement,study couple processor model simultaneous arrival assumption order input transform joint stationary amount work system explicitly calculate relating amount work parallel system couple relation first exploit system couple method extend high dimension couple processor model simultaneous arrival order service requirement
1497,2015,consider stability long first scheduling policy wireless network multihop traffic hop interference model well know back pressure achieve maximal stability computational complexity prohibitively high paper consider low complexity scheduling show optimal throughput performance many network single hop traffic flow interested performance lqf multihop traffic flow scenario couple due multihop traffic flow make local pooling factor analysis difficult perform use limitfluid technique show lqf achieve maximal stability linear network multihop traffic single destination boundary network hop interference model,stability long first scheduling linear wireless network multihop traffic hop interference,consider stability long first scheduling policy wireless network multihop traffic hop interference model well know back pressure achieve maximal stability computational complexity prohibitively high paper consider low complexity scheduling show optimal throughput performance many network single hop traffic flow interested performance lqf multihop traffic flow scenario couple due multihop traffic flow make local pooling factor analysis difficult perform use limitfluid technique show lqf achieve maximal stability linear network multihop traffic single destination boundary network hop interference model stability long first scheduling linear wireless network multihop traffic hop interference
1500,2015,retransmission represent primary failure recovery mechanism layer communication network architecture similarly fair sharing example processor sharing widely accept approach resource allocation multiple user recent work show retransmission failure prone example wireless hoc network cause heavy tail long delay paper discover new phenomenon show base scheduling induce complete instability throughput presence retransmission regardless low traffic load phenomenon occur even job size bound fragmented example deterministic analytical result validate simulation experiment moreover work demonstrate schedule job time first come first serve achieve large stability region preferred system,instability share system presence retransmission,retransmission represent primary failure recovery mechanism layer communication network architecture similarly fair sharing example processor sharing widely accept approach resource allocation multiple user recent work show retransmission failure prone example wireless hoc network cause heavy tail long delay paper discover new phenomenon show base scheduling induce complete instability throughput presence retransmission regardless low traffic load phenomenon occur even job size bound fragmented example deterministic analytical result validate simulation experiment moreover work demonstrate schedule job time first come first serve achieve large stability region preferred system instability share system presence retransmission
1501,2015,distribution heavy tail difficult estimate design optimal scheduling policy sensitive detail heavy tail distribution service time approximately optimal solution difficult obtain paper show mean optimal scheduling singleserver heavy tail service time present difficulty approximately optimal strategy derive truncating distribution,approximately optimal scheduling singleserver heavy tail,distribution heavy tail difficult estimate design optimal scheduling policy sensitive detail heavy tail distribution service time approximately optimal solution difficult obtain paper show mean optimal scheduling singleserver heavy tail service time present difficulty approximately optimal strategy derive truncating distribution approximately optimal scheduling singleserver heavy tail
1502,2016,recent computer system research propose use redundant request reduce latency idea run request multiserver wait first completion discard remain copy request however exact analysis system redundancy paper present first exact analysis system redundancy allow number class redundant request number class non redundant request degree redundancy number heterogeneous server case derive limit distribution state system small server system derive simple form distribution response time redundant class non redundant class quantify gain redundant class pain non redundant class cause redundancy find surprising result first response time fully redundant class follow simple exponential distribution non redundant class follow generalize second fully redundant class immune pain cause class become redundant also compare redundancy approach reduce latency optimal probabilistic splitting class server join short route class find many case redundancy outperform split respect overall response time make attractive solution,redundant request exact analysis,recent computer system research propose use redundant request reduce latency idea run request multiserver wait first completion discard remain copy request however exact analysis system redundancy paper present first exact analysis system redundancy allow number class redundant request number class non redundant request degree redundancy number heterogeneous server case derive limit distribution state system small server system derive simple form distribution response time redundant class non redundant class quantify gain redundant class pain non redundant class cause redundancy find surprising result first response time fully redundant class follow simple exponential distribution non redundant class follow generalize second fully redundant class immune pain cause class become redundant also compare redundancy approach reduce latency optimal probabilistic splitting class server join short route class find many case redundancy outperform split respect overall response time make attractive solution redundant request exact analysis
